사용월,호선명,지하철역,04시_하차,05시_하차,06시_하차,07시_하차,08시_하차,09시_하차,10시_하차,11시_하차,12시_하차,13시_하차,14시_하차,15시_하차,16시_하차,17시_하차,18시_하차,19시_하차,20시_하차,21시_하차,22시_하차,23시_하차,00시_하차,01시_하차,02시_하차,03시_하차
202302,5호선,왕십리(성동구청),0,511,2744,5412,16944,8693,6850,7091,7529,8516,8292,7970,8901,11125,16784,9517,5134,4400,3936,2307,1579,258,0,0
202302,5호선,우장산,0,721,3633,8180,17984,14181,12486,12474,15457,18132,19048,21828,25395,32009,50703,40989,23716,21616,22446,13123,3700,0,1,0
202302,5호선,을지로4가,0,540,5973,16230,42542,18054,11271,11304,11089,10224,8777,7970,7063,6884,7304,3539,2039,1950,1280,957,347,5,0,0
202302,5호선,장한평,1,821,11090,20816,62800,27148,19431,17850,18422,19247,18143,21164,25779,36251,62168,44586,26344,24024,21614,13966,4186,97,0,0
202302,5호선,종로3가,2,453,5114,12653,38418,32480,28204,33281,33358,32259,27994,24986,25195,27252,32186,17212,8425,6140,4545,2976,1133,4,0,0
202302,5호선,천호(풍납토성),1,1657,12858,17288,38194,33219,26620,27640,28104,31666,30951,32331,34501,41068,55204,39834,22039,19006,16386,10254,3417,6,0,0
202302,5호선,청구,0,177,1778,3615,13686,7635,4118,3658,4252,4443,4526,4849,5528,7084,10116,6905,4428,4082,4169,2705,755,1,0,0
202302,5호선,충정로(경기대입구),0,187,1597,12760,32791,10343,4004,3424,3364,4124,3937,3693,4275,5619,8423,5565,3963,3713,3860,2415,587,78,0,0
202302,5호선,하남검단산,2,10,2705,4285,8519,8638,8835,8175,10308,9557,8918,11621,9863,12585,15112,15870,9739,9029,8133,5311,2862,0,0,0
202302,5호선,하남시청(덕풍?신장),1,107,3358,4785,11997,7798,7625,8116,8828,11464,9342,13900,14826,14167,21797,20801,11655,11069,10716,6632,3352,0,0,0
202302,5호선,하남풍산,0,180,1828,5696,14633,9206,5816,4809,4858,6091,5451,5482,7184,6668,10345,9947,5535,4623,4961,3257,1224,0,0,0
202302,5호선,행당,0,621,2214,4061,8189,5847,5100,5846,6897,7660,8790,10687,13104,17691,30186,20662,12984,12353,10742,6497,2034,0,0,0
202302,5호선,화곡,2,1433,8832,12859,27220,22985,17628,19072,22146,25410,28941,36205,47304,63960,118384,89707,52621,48520,42715,27268,8577,0,0,0
202302,6호선,고려대(종암),0,753,4268,9057,23392,13672,8893,8548,8783,10789,9157,9735,11477,13794,21985,17343,10941,10956,10841,7465,2314,47,0,0
202302,6호선,공덕,0,2093,9248,35055,98111,47436,21972,19374,20076,19609,19171,19380,22505,28510,41604,26410,15292,14316,12639,9219,3649,79,0,0
202302,6호선,광흥창(서강),0,1280,4278,12570,34403,19263,11900,9378,9704,10037,10390,11278,11574,14444,22669,16911,10034,9499,9389,5699,1788,0,0,0
202302,6호선,구산,0,183,2279,3541,5845,4847,4768,6273,6726,7556,7711,9482,12399,13321,20654,19564,9902,9091,7849,5157,1820,0,0,0
202302,6호선,녹사평(용산구청),0,425,3319,7130,15930,8738,7355,6787,7455,8274,7343,8152,8440,9912,11831,8453,5011,4127,3773,2371,779,0,0,0
202302,6호선,대흥(서강대앞),0,756,3307,10345,28196,17786,12712,10592,11688,13380,11078,11952,12935,15884,22804,15343,9346,8227,8000,5874,1750,0,0,0
202302,6호선,독바위,0,161,823,1200,2395,2809,3158,2343,2773,2656,3038,3652,4811,6288,11039,10037,6011,4807,4883,3256,1177,0,0,0
202302,6호선,돌곶이,0,1557,3923,4933,15568,12214,9608,7934,9063,9234,9526,12331,14525,19708,30852,26921,15545,12745,13009,8022,2804,0,0,0
202302,6호선,동묘앞,3,908,3590,6618,21196,17631,14332,14911,15752,16501,16142,14393,13660,13635,16630,12595,8313,8184,8106,7860,1943,89,0,0
202302,6호선,디지털미디어시티,2,2219,10237,28248,67987,29965,11818,10769,11775,12439,13055,14978,19725,27325,46457,34959,20637,18995,18410,11213,4466,5,0,0
202302,6호선,마포구청,0,1814,6355,12961,33126,17761,12926,11872,15028,15613,15020,17564,18895,25199,39334,30820,20497,17255,17697,10973,2980,0,0,0
202302,6호선,망원,0,941,4324,8603,30606,27428,19997,24803,27070,29779,27595,31007,30908,36237,47957,33772,17020,14672,12735,9202,2353,0,0,0
202302,6호선,버티고개,0,278,1052,2033,4738,3131,2429,2028,2405,2787,2845,3279,3603,4526,6408,4958,3122,3125,2860,1937,503,34,0,0
202302,6호선,보문,0,748,3105,6262,16844,9538,6883,6137,7155,7610,7117,8534,9930,13960,22521,17544,11087,10634,11152,7729,2460,0,0,0
202302,6호선,봉화산(서울의료원),0,815,2277,5245,12462,7331,5918,5886,7681,8856,9301,11423,13185,18452,29433,28919,16033,13790,13616,8627,3007,158,0,0
202302,6호선,불광,0,419,1278,2514,6736,6525,5009,5255,5819,6540,6467,7391,7702,9290,14165,11001,5880,5548,5232,3451,1222,0,0,0
202302,6호선,삼각지,0,664,5027,13568,27256,11029,8870,7937,8840,9573,8441,7979,8262,10815,13839,9095,6148,5762,6332,3618,978,3,0,0
202302,6호선,상수,1,880,2973,5997,21171,19029,15996,17421,18705,19634,18458,18215,21046,25119,33427,23119,13789,10922,9657,7360,2522,0,0,0
202302,6호선,상월곡(한국과학기술연구원),2,597,1587,2880,12057,6597,4855,4480,5486,5955,5694,7772,9345,12583,18962,16553,9539,9053,8462,5897,1869,0,0,0
202302,6호선,새절(신사),0,542,3787,5906,11460,8617,8198,9319,11160,12713,13170,18092,19974,27678,45671,38924,22407,19886,18960,12816,4678,4,0,0
202302,6호선,석계,12,1591,4647,5589,11882,8890,8518,10409,12129,13305,14093,17973,23640,29670,49982,41722,23292,20877,19293,12539,3997,4,0,0
202302,6호선,신내,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202302,6호선,신당,0,999,6575,11574,32287,21503,13154,10763,9735,10273,8933,8424,9802,12418,18112,17280,8971,7103,7160,8522,2118,11,0,0
202302,6호선,안암(고대병원앞),0,1312,7114,14363,33558,30841,21229,15462,17303,18983,16618,14193,13375,15156,20575,15771,9892,9574,9562,6415,2672,97,0,0
202302,6호선,약수,0,208,2270,4748,15544,8453,5225,4822,4854,5378,4889,5472,5529,7078,8996,5487,3103,2743,2516,1577,536,0,0,0
202302,6호선,역촌,0,270,1701,2340,7389,3573,3152,4362,4944,4624,4741,5622,7379,9691,16496,13928,7221,7375,6476,4400,1465,0,0,0
202302,6호선,연신내,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202302,6호선,월곡(동덕여대),1,790,3407,6860,23152,15172,11429,10092,11868,12161,12858,15415,18954,23918,38535,31092,18105,17198,15262,10178,3317,0,0,0
202302,6호선,월드컵경기장(성산),0,976,2862,3894,7311,6687,7380,8008,9219,11066,12797,14576,10221,7937,10810,8075,4627,3761,3079,1705,484,0,0,0
202302,6호선,응암,0,1265,5354,8199,15744,12290,12112,13648,16232,17586,19791,25417,30273,42647,72947,58177,36540,30477,28131,19110,5826,0,0,0
202302,6호선,이태원,0,1289,6800,10055,22469,20191,16255,14480,16549,17145,16743,17788,19871,22983,27981,21750,14361,11868,10416,8080,3059,0,0,0
202302,6호선,증산(명지대앞),0,506,3320,4485,8802,7373,6634,8105,9178,10005,11709,14717,17880,23611,40470,32094,18784,18448,15802,10242,3510,0,0,0
202302,6호선,창신,0,273,1589,2141,5228,3625,2425,2447,2570,2829,2880,3787,4269,5622,8928,7214,4839,4440,4574,2859,851,0,0,0
202302,6호선,청구,0,428,2645,5931,21409,10759,4174,4016,3957,4371,3770,4425,4747,5709,6934,4973,3359,3099,2793,1939,722,0,0,0
202302,6호선,태릉입구,1,680,2587,3344,7359,6061,4837,5677,6295,6933,7198,8159,10702,13412,22992,18824,10260,10020,8696,7002,3047,14,0,0
202302,6호선,한강진,0,607,7685,19717,36738,28982,20286,21973,22112,28066,21291,21213,20970,20822,23658,11797,3607,2989,2256,1717,1132,128,0,0
202302,6호선,합정,0,1130,5999,14907,41955,29378,17851,19598,19817,22353,19154,20982,23331,29578,42397,27519,13838,11876,10708,7718,2331,1,0,0
202302,6호선,화랑대(서울여대입구),0,852,2555,5112,10594,7817,6580,6194,7415,8751,8578,11174,13139,19791,32863,30862,17308,16028,14089,10150,3599,28,0,0
202302,6호선,효창공원앞,0,510,3006,6887,20785,11780,7011,6330,7267,7905,7759,8524,10131,11822,18774,13378,8550,7724,6855,5070,2024,0,0,0
202302,7호선,가산디지털단지,2,5843,27771,118240,368644,208974,57095,33925,32597,34559,29883,27139,25373,27476,32814,23719,13396,11583,10035,7206,2806,1,0,0
202302,7호선,강남구청,0,1689,14136,31578,103291,101325,40605,24493,21129,22901,18654,15828,16460,18201,19799,12410,7659,6069,5204,3692,1762,0,0,0
202302,7호선,건대입구,0,938,6989,16840,31244,26943,21877,20678,22462,23692,22221,22601,23313,28734,39233,26777,14177,11380,9857,6056,2939,237,0,0
