BASE_YEAR,BASE_MT,SIGNGU_NM,AVRG_FYER_INCOME_PRICE
2021,9,중구,30000
2021,9,해운대구,36000
2021,12,강서구,33000
2021,12,금정구,33000
2021,12,기장군,34000
2021,12,남구,33000
2021,12,동구,31000
2021,12,동래구,35000
2021,12,부산진구,33000
2021,12,북구,32000
2021,12,사상구,31000
2021,12,사하구,32000
2021,12,서구,32000
2021,12,수영구,35000
2021,12,연제구,34000
2021,12,영도구,31000
2021,12,중구,30000
2021,12,해운대구,37000
