사용월,호선명,지하철역,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차
202303,경인선,오류동,489,13106,20718,55369,55415,32270,23097,20560,21972,19140,16356,15996,16832,16631,15279,9154,6704,5921,4563,1619,41,0,0,0
202303,경인선,온수(성공회대입구),195,5783,9113,25335,22832,14865,12208,11302,12718,11448,10720,12543,18154,15552,12776,6730,4904,5010,3535,1709,47,0,0,0
202303,경인선,인천,314,1309,3661,6490,5773,3827,3681,4224,6084,7931,10054,12648,15663,15812,14656,6652,4959,3108,1743,429,7,0,0,0
202303,경인선,제물포,751,7917,16596,42324,36828,20749,16969,16590,18007,16855,15297,21969,26905,25580,26382,11476,8371,6956,5016,1860,56,0,0,0
202303,경인선,주안,809,15152,29197,67161,61744,38927,30182,30368,34059,31870,28378,33992,35989,43942,42004,25675,22153,20581,17756,8078,518,0,0,0
202303,경인선,중동,920,11862,19313,48549,38605,22182,16176,15370,16029,14287,12129,11744,12808,13716,13358,7252,5653,4947,3225,1378,66,0,0,0
202303,공항철도 1호선,공덕,62,1960,2621,6881,6533,3909,3329,3341,3140,3455,3077,2987,4072,6221,10179,4516,3883,3501,2942,1585,71,0,0,0
202303,공항철도 1호선,공항화물청사,1,538,1292,2151,2403,1589,772,755,1179,1345,1985,3531,5292,11439,17767,3921,2474,2774,2653,559,13,1,0,0
202303,공항철도 1호선,김포공항,17,2205,3895,7188,15505,16053,17390,20843,19116,23244,23338,21765,17578,25769,31753,19180,16630,20743,21214,5350,125,2,0,0
202303,공항철도 1호선,디지털미디어시티,132,3841,8410,21606,22485,13409,9347,10556,11237,12857,12806,14458,20480,51325,94075,37459,22110,19575,18107,7723,908,0,0,0
202303,공항철도 1호선,마곡나루(서울식물원),10,2586,5420,16342,17303,9504,6185,6658,7844,7932,7807,11586,21128,58884,56222,21406,13602,11713,8529,2807,431,0,0,0
202303,공항철도 1호선,서울역,308,3378,3723,12416,16065,14373,15119,16750,20974,25403,18079,29341,30575,36016,38217,28793,21836,23856,16977,9426,146,0,0,0
202303,공항철도 1호선,홍대입구,265,5052,5914,11691,14551,12166,12534,13627,15354,17368,20009,24745,30628,38850,43613,35167,32995,37462,33557,15823,1372,0,0,0
202303,신림선,관악산(서울대),1,658,1630,5465,6112,3847,3611,4692,6700,8465,9950,12176,12528,10549,8927,3391,2158,1665,1209,502,139,1,0,0
202303,신림선,당곡,0,1974,3976,13343,19016,11951,7261,7041,7342,7187,6519,6494,7181,7963,9268,5035,4406,2974,2180,1124,247,0,0,0
202303,신림선,대방,17,1579,2075,6339,11156,6223,4623,4834,4541,4882,4538,4783,4643,6092,5991,3491,3128,2945,2228,939,166,0,0,0
202303,신림선,보라매,0,1482,2684,8715,13336,7695,5029,4943,5228,5115,5623,6316,7644,7001,12193,4842,4001,3603,2799,1521,385,0,0,0
202303,신림선,보라매공원,0,471,1542,6052,6639,4014,3102,3300,3117,3302,3342,4057,4542,4821,6358,2071,1696,1159,1021,381,97,0,0,0
202303,신림선,보라매병원,8,803,2143,7172,8367,8868,9153,10703,8968,9131,11651,14037,13792,24337,35523,10709,7552,4807,3769,1298,189,0,0,0
202303,신림선,샛강,0,345,787,1571,2720,2215,1855,1908,2248,2466,3190,4227,5019,10696,18738,6489,4694,4226,3497,1527,510,1,0,0
