하차인원수,위도,경도,시간대
10003.25,37.419232,126.908706,9
9742.0,37.419232,126.908706,10
7163.25,37.419232,126.908706,11
8041.75,37.419232,126.908706,12
7694.5,37.419232,126.908706,13
8324.5,37.419232,126.908706,14
9841.75,37.419232,126.908706,15
12384.75,37.419232,126.908706,16
17699.75,37.419232,126.908706,17
29044.75,37.419232,126.908706,18
21980.0,37.419232,126.908706,19
13040.75,37.419232,126.908706,20
12354.25,37.419232,126.908706,21
10534.25,37.419232,126.908706,22
7324.5,37.419232,126.908706,23
624.5,37.419232,126.908706,0
0.0,37.419232,126.908706,1
0.0,37.419232,126.908706,2
0.0,37.419232,126.908706,3
0.0,37.416182,126.884466,4
1276.25,37.416182,126.884466,5
2853.25,37.416182,126.884466,6
6332.0,37.416182,126.884466,7
6945.75,37.416182,126.884466,8
6304.25,37.416182,126.884466,9
4004.25,37.416182,126.884466,10
2499.75,37.416182,126.884466,11
7717.75,37.416182,126.884466,12
180.0,37.416182,126.884466,13
7785.75,37.416182,126.884466,14
4028.75,37.416182,126.884466,15
5058.75,37.416182,126.884466,16
6971.5,37.416182,126.884466,17
12246.75,37.416182,126.884466,18
7075.25,37.416182,126.884466,19
4066.25,37.416182,126.884466,20
4275.75,37.416182,126.884466,21
3417.0,37.416182,126.884466,22
93.25,37.416182,126.884466,23
0.25,37.416182,126.884466,0
0.0,37.416182,126.884466,1
0.0,37.416182,126.884466,2
0.0,37.416182,126.884466,3
1.5,37.479252,126.854876,4
5508.75,37.479252,126.854876,5
11135.75,37.479252,126.854876,6
15747.0,37.479252,126.854876,7
24131.0,37.479252,126.854876,8
22520.25,37.479252,126.854876,9
22347.0,37.479252,126.854876,10
25522.5,37.479252,126.854876,11
27621.25,37.479252,126.854876,12
31054.75,37.479252,126.854876,13
31448.25,37.479252,126.854876,14
35701.0,37.479252,126.854876,15
40934.5,37.479252,126.854876,16
53006.75,37.479252,126.854876,17
79020.0,37.479252,126.854876,18
62550.75,37.479252,126.854876,19
34489.25,37.479252,126.854876,20
30159.75,37.479252,126.854876,21
25187.25,37.479252,126.854876,22
15927.0,37.479252,126.854876,23
4510.0,37.479252,126.854876,0
17.5,37.479252,126.854876,1
0.0,37.479252,126.854876,2
0.0,37.479252,126.854876,3
25.75,37.503039,126.881966,4
4355.0,37.503039,126.881966,5
13011.5,37.503039,126.881966,6
30426.0,37.503039,126.881966,7
71046.75,37.503039,126.881966,8
38878.5,37.503039,126.881966,9
26405.5,37.503039,126.881966,10
22881.75,37.503039,126.881966,11
22291.0,37.503039,126.881966,12
23436.5,37.503039,126.881966,13
22658.0,37.503039,126.881966,14
25067.25,37.503039,126.881966,15
29395.75,37.503039,126.881966,16
38437.25,37.503039,126.881966,17
42293.25,37.503039,126.881966,18
30116.0,37.503039,126.881966,19
19662.25,37.503039,126.881966,20
18834.0,37.503039,126.881966,21
16707.25,37.503039,126.881966,22
13454.5,37.503039,126.881966,23
11573.75,37.503039,126.881966,0
2.75,37.503039,126.881966,1
0.0,37.503039,126.881966,2
0.0,37.503039,126.881966,3
12.75,37.485266,126.901401,4
4871.0,37.485266,126.901401,5
18957.25,37.485266,126.901401,6
77595.75,37.485266,126.901401,7
230576.5,37.485266,126.901401,8
145311.75,37.485266,126.901401,9
60450.25,37.485266,126.901401,10
44322.0,37.485266,126.901401,11
47574.0,37.485266,126.901401,12
59094.75,37.485266,126.901401,13
58155.0,37.485266,126.901401,14
66257.0,37.485266,126.901401,15
79455.75,37.485266,126.901401,16
106932.75,37.485266,126.901401,17
162627.25,37.485266,126.901401,18
137965.5,37.485266,126.901401,19
86317.0,37.485266,126.901401,20
84823.75,37.485266,126.901401,21
80763.0,37.485266,126.901401,22
48701.25,37.485266,126.901401,23
13606.0,37.485266,126.901401,0
280.0,37.485266,126.901401,1
0.5,37.485266,126.901401,2
0.0,37.485266,126.901401,3
0.0,37.501364,126.987332,4
163.75,37.501364,126.987332,5
1891.5,37.501364,126.987332,6
2337.25,37.501364,126.987332,7
3936.25,37.501364,126.987332,8
3408.75,37.501364,126.987332,9
1464.25,37.501364,126.987332,10
1309.5,37.501364,126.987332,11
1471.5,37.501364,126.987332,12
1670.25,37.501364,126.987332,13
1405.5,37.501364,126.987332,14
1413.75,37.501364,126.987332,15
1479.0,37.501364,126.987332,16
1643.75,37.501364,126.987332,17
2473.0,37.501364,126.987332,18
1443.5,37.501364,126.987332,19
743.25,37.501364,126.987332,20
