승차인원수,위도,경도,시간대
23794.5,37.503039,126.881966,14
27212.25,37.503039,126.881966,15
32867.0,37.503039,126.881966,16
50104.0,37.503039,126.881966,17
59786.25,37.503039,126.881966,18
25413.75,37.503039,126.881966,19
19865.25,37.503039,126.881966,20
17322.25,37.503039,126.881966,21
11629.75,37.503039,126.881966,22
4561.25,37.503039,126.881966,23
39.0,37.503039,126.881966,0
0.0,37.503039,126.881966,1
0.0,37.503039,126.881966,2
0.0,37.503039,126.881966,3
244.75,37.485266,126.901401,4
34697.75,37.485266,126.901401,5
51451.75,37.485266,126.901401,6
136888.75,37.485266,126.901401,7
186340.25,37.485266,126.901401,8
114679.0,37.485266,126.901401,9
68170.5,37.485266,126.901401,10
61531.75,37.485266,126.901401,11
66907.5,37.485266,126.901401,12
66596.75,37.485266,126.901401,13
61181.75,37.485266,126.901401,14
64616.0,37.485266,126.901401,15
77672.25,37.485266,126.901401,16
131258.5,37.485266,126.901401,17
212884.0,37.485266,126.901401,18
103850.75,37.485266,126.901401,19
65796.25,37.485266,126.901401,20
56526.25,37.485266,126.901401,21
43106.25,37.485266,126.901401,22
20079.5,37.485266,126.901401,23
3313.0,37.485266,126.901401,0
8.75,37.485266,126.901401,1
0.0,37.485266,126.901401,2
0.0,37.485266,126.901401,3
0.25,37.501364,126.987332,4
236.5,37.501364,126.987332,5
496.0,37.501364,126.987332,6
1253.75,37.501364,126.987332,7
1872.25,37.501364,126.987332,8
1149.5,37.501364,126.987332,9
999.5,37.501364,126.987332,10
1157.25,37.501364,126.987332,11
1335.0,37.501364,126.987332,12
1431.25,37.501364,126.987332,13
1687.25,37.501364,126.987332,14
2043.75,37.501364,126.987332,15
2762.75,37.501364,126.987332,16
3703.75,37.501364,126.987332,17
3927.0,37.501364,126.987332,18
1925.0,37.501364,126.987332,19
1179.75,37.501364,126.987332,20
928.25,37.501364,126.987332,21
737.75,37.501364,126.987332,22
208.0,37.501364,126.987332,23
42.0,37.501364,126.987332,0
0.0,37.501364,126.987332,1
0.0,37.501364,126.987332,2
0.0,37.501364,126.987332,3
11.0,37.611377,126.91727,4
5406.5,37.611377,126.91727,5
11186.25,37.611377,126.91727,6
30670.25,37.611377,126.91727,7
37735.0,37.611377,126.91727,8
19624.5,37.611377,126.91727,9
13045.75,37.611377,126.91727,10
11790.25,37.611377,126.91727,11
12601.25,37.611377,126.91727,12
10976.0,37.611377,126.91727,13
9480.5,37.611377,126.91727,14
10443.5,37.611377,126.91727,15
11663.75,37.611377,126.91727,16
10112.0,37.611377,126.91727,17
9125.75,37.611377,126.91727,18
5724.25,37.611377,126.91727,19
4436.5,37.611377,126.91727,20
4162.25,37.611377,126.91727,21
3837.75,37.611377,126.91727,22
1278.25,37.611377,126.91727,23
197.75,37.611377,126.91727,0
0.75,37.611377,126.91727,1
0.0,37.611377,126.91727,2
0.0,37.611377,126.91727,3
214.5,37.496756,126.870793,4
3921.5,37.496756,126.870793,5
9472.0,37.496756,126.870793,6
26431.5,37.496756,126.870793,7
23557.75,37.496756,126.870793,8
13425.25,37.496756,126.870793,9
